pmid,pmcid,doi,status,message,file
19176454,PMC2724854,10.1093/jnci/djn460,ok_cached,,data/raw/pdfs/robin_batch/PMC2724854.pdf
23999436,PMC3754257,10.1172/JCI68340,ok_cached,,data/raw/pdfs/robin_batch/PMC3754257.pdf
19735873,PMC3038688,10.1016/j.ijrobp.2009.06.014,fail,HTTP 200 CT=text/html; charset=utf-8,
26738797,PMC4794335,10.1126/scitranslmed.aad0293,fail,HTTP 200 CT=text/html; charset=utf-8,
26978244,PMC4792175,10.1038/sdata.2016.18,ok_cached,,data/raw/pdfs/robin_batch/PMC4792175.pdf
27389358,PMC4936733,10.1371/journal.pbio.1002506,ok_cached,,data/raw/pdfs/robin_batch/PMC4936733.pdf
27698471,PMC5059467,10.1038/ncomms13019,ok_cached,,data/raw/pdfs/robin_batch/PMC5059467.pdf
27806376,PMC5465819,10.1038/nature20123,ok_cached,,data/raw/pdfs/robin_batch/PMC5465819.pdf
27826200,PMC5096771,10.2147/OTT.S99826,ok_cached,,data/raw/pdfs/robin_batch/PMC5096771.pdf
28045614,PMC5455151,10.1200/JOP.2016.018846,ok_cached,,data/raw/pdfs/robin_batch/PMC5455151.pdf
26143202,PMC4965359,10.1016/j.neuroimage.2015.06.076,fail,HTTP 200 CT=text/html; charset=utf-8,
23770567,PMC3919509,10.1038/nature12213,fail,HTTP 200 CT=text/html; charset=utf-8,
29902176,PMC6002019,10.1371/journal.pcbi.1006144,ok_cached,,data/raw/pdfs/robin_batch/PMC6002019.pdf
29674595,PMC5949869,10.1126/science.aao4750,fail,HTTP 200 CT=text/html; charset=utf-8,
27154913,PMC4930691,10.1158/1078-0432.CCR-16-0069,fail,HTTP 200 CT=text/html; charset=utf-8,
30471129,PMC7792987,10.1002/mp.13295,ok_cached,,data/raw/pdfs/robin_batch/PMC7792987.pdf
29898992,PMC6532976,10.1158/1078-0432.CCR-17-3427,fail,HTTP 200 CT=text/html; charset=utf-8,
30280985,PMC6322391,10.1667/RR15121.1,fail,HTTP 200 CT=text/html; charset=utf-8,
30397353,PMC6286242,10.1038/s41591-018-0232-2,fail,HTTP 200 CT=text/html; charset=utf-8,
31015133,PMC6598851,10.1016/j.radonc.2019.03.032,fail,HTTP 200 CT=text/html; charset=utf-8,
31732968,PMC8177718,10.1002/ijc.32793,fail,HTTP 200 CT=text/html; charset=utf-8,
31327527,PMC6703186,10.1016/j.cell.2019.06.024,fail,HTTP 200 CT=text/html; charset=utf-8,
32141618,PMC7762616,10.1002/mp.14121,fail,HTTP 200 CT=text/html; charset=utf-8,
33305538,PMC7856512,10.1002/acm2.13121,ok_cached,,data/raw/pdfs/robin_batch/PMC7856512.pdf
32302564,PMC7286095,10.1016/j.cell.2020.03.034,fail,HTTP 200 CT=text/html; charset=utf-8,
32663469,PMC7479515,10.1016/j.ccell.2020.06.004,fail,HTTP 200 CT=text/html; charset=utf-8,
32683683,PMC7722002,10.3322/caac.21626,fail,HTTP 200 CT=text/html; charset=utf-8,
34493726,PMC8423786,10.1038/s41467-021-24870-7,ok_cached,,data/raw/pdfs/robin_batch/PMC8423786.pdf
33704353,PMC7953335,10.1001/jamaoncol.2021.0057,fail,HTTP 200 CT=text/html; charset=utf-8,
33820781,PMC8338789,10.1158/1078-0432.CCR-20-4450,fail,HTTP 200 CT=text/html; charset=utf-8,
37119971,PMC10220275,10.1016/j.mcpro.2023.100561,ok_cached,,data/raw/pdfs/robin_batch/PMC10220275.pdf
37646491,PMC11747767,10.1002/mp.16704,ok_cached,,data/raw/pdfs/robin_batch/PMC11747767.pdf
38780927,PMC11117153,10.1001/jamaoncol.2024.1143,ok_cached,,data/raw/pdfs/robin_batch/PMC11117153.pdf
37059065,PMC10511214,10.1016/j.cell.2023.03.003,fail,HTTP 200 CT=text/html; charset=utf-8,
34090651,PMC8189311,10.1016/j.semradonc.2021.03.007,fail,HTTP 200 CT=text/html; charset=utf-8,
37115507,PMC10687742,10.1158/1078-0432.CCR-23-0376,fail,HTTP 200 CT=text/html; charset=utf-8,
